D:\Anaconda3\envs\COMP9993\python.exe D:\COMP9993\Difussion_model\Digress.py 
D:\Anaconda3\envs\COMP9993\Lib\site-packages\requests\__init__.py:86: RequestsDependencyWarning: Unable to find acceptable character detection dependency (chardet or charset_normalizer).
  warnings.warn(
Device: cuda
[Train] Epoch 2:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3957, n_acc=0.916, e_acc=0.948]Epoch 01 | Train 0.4576 (n_acc 0.896, e_acc 0.943) | Val 0.2792 (n_acc 0.931, e_acc 0.973) | LR 0.00200
[Train] Epoch 3:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3816, n_acc=0.914, e_acc=0.956]Epoch 02 | Train 0.3836 (n_acc 0.910, e_acc 0.949) | Val 0.2600 (n_acc 0.938, e_acc 0.974) | LR 0.00200
[Train] Epoch 4:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3688, n_acc=0.922, e_acc=0.952]Epoch 03 | Train 0.3671 (n_acc 0.912, e_acc 0.951) | Val 0.2632 (n_acc 0.934, e_acc 0.975) | LR 0.00199
[Train] Epoch 5:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3816, n_acc=0.900, e_acc=0.950]Epoch 04 | Train 0.3550 (n_acc 0.914, e_acc 0.953) | Val 0.2454 (n_acc 0.938, e_acc 0.975) | LR 0.00199
[Train] Epoch 6:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3389, n_acc=0.910, e_acc=0.956]Epoch 05 | Train 0.3470 (n_acc 0.916, e_acc 0.953) | Val 0.2293 (n_acc 0.938, e_acc 0.979) | LR 0.00198
[Train] Epoch 7:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3246, n_acc=0.927, e_acc=0.953]Epoch 06 | Train 0.3393 (n_acc 0.917, e_acc 0.954) | Val 0.2246 (n_acc 0.940, e_acc 0.979) | LR 0.00196
[Train] Epoch 8:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3714, n_acc=0.905, e_acc=0.951]Epoch 07 | Train 0.3306 (n_acc 0.919, e_acc 0.954) | Val 0.2148 (n_acc 0.944, e_acc 0.978) | LR 0.00195
[Train] Epoch 9:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3330, n_acc=0.904, e_acc=0.961]Epoch 08 | Train 0.3211 (n_acc 0.921, e_acc 0.955) | Val 0.2075 (n_acc 0.945, e_acc 0.979) | LR 0.00193
[Train] Epoch 10:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2701, n_acc=0.924, e_acc=0.964]Epoch 09 | Train 0.3090 (n_acc 0.923, e_acc 0.955) | Val 0.1975 (n_acc 0.946, e_acc 0.979) | LR 0.00191
[Train] Epoch 11:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2605, n_acc=0.942, e_acc=0.953]Epoch 10 | Train 0.2962 (n_acc 0.926, e_acc 0.956) | Val 0.1834 (n_acc 0.951, e_acc 0.978) | LR 0.00188
[Train] Epoch 12:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2760, n_acc=0.932, e_acc=0.960]Epoch 11 | Train 0.2867 (n_acc 0.928, e_acc 0.956) | Val 0.1857 (n_acc 0.947, e_acc 0.978) | LR 0.00186
[Train] Epoch 13:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2662, n_acc=0.934, e_acc=0.963]Epoch 12 | Train 0.2781 (n_acc 0.930, e_acc 0.957) | Val 0.1855 (n_acc 0.954, e_acc 0.978) | LR 0.00183
[Train] Epoch 14:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3327, n_acc=0.902, e_acc=0.944]Epoch 13 | Train 0.2709 (n_acc 0.931, e_acc 0.957) | Val 0.1795 (n_acc 0.948, e_acc 0.977) | LR 0.00180
[Train] Epoch 15:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2628, n_acc=0.930, e_acc=0.957]Epoch 14 | Train 0.2638 (n_acc 0.933, e_acc 0.957) | Val 0.1649 (n_acc 0.956, e_acc 0.978) | LR 0.00176
[Train] Epoch 16:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2904, n_acc=0.927, e_acc=0.950]Epoch 15 | Train 0.2580 (n_acc 0.934, e_acc 0.957) | Val 0.1623 (n_acc 0.955, e_acc 0.978) | LR 0.00173
[Train] Epoch 17:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2654, n_acc=0.935, e_acc=0.959]Epoch 16 | Train 0.2529 (n_acc 0.935, e_acc 0.958) | Val 0.1545 (n_acc 0.957, e_acc 0.979) | LR 0.00169
[Train] Epoch 18:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2513, n_acc=0.936, e_acc=0.961]Epoch 17 | Train 0.2481 (n_acc 0.935, e_acc 0.958) | Val 0.1551 (n_acc 0.954, e_acc 0.980) | LR 0.00165
[Train] Epoch 19:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2117, n_acc=0.942, e_acc=0.963]Epoch 18 | Train 0.2441 (n_acc 0.936, e_acc 0.958) | Val 0.1497 (n_acc 0.959, e_acc 0.979) | LR 0.00161
[Train] Epoch 20:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.3205, n_acc=0.923, e_acc=0.951]Epoch 19 | Train 0.2410 (n_acc 0.937, e_acc 0.959) | Val 0.1501 (n_acc 0.956, e_acc 0.980) | LR 0.00157
[Train] Epoch 21:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2975, n_acc=0.912, e_acc=0.944]Epoch 20 | Train 0.2366 (n_acc 0.938, e_acc 0.959) | Val 0.1548 (n_acc 0.952, e_acc 0.980) | LR 0.00153
[Train] Epoch 22:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2121, n_acc=0.949, e_acc=0.963]Epoch 21 | Train 0.2329 (n_acc 0.939, e_acc 0.960) | Val 0.1428 (n_acc 0.958, e_acc 0.981) | LR 0.00148
[Train] Epoch 23:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2228, n_acc=0.941, e_acc=0.961]Epoch 22 | Train 0.2301 (n_acc 0.939, e_acc 0.960) | Val 0.1383 (n_acc 0.960, e_acc 0.981) | LR 0.00144
[Train] Epoch 24:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.1859, n_acc=0.954, e_acc=0.964]Epoch 23 | Train 0.2263 (n_acc 0.940, e_acc 0.961) | Val 0.1387 (n_acc 0.961, e_acc 0.979) | LR 0.00139
[Train] Epoch 25:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.1781, n_acc=0.953, e_acc=0.963]Epoch 24 | Train 0.2231 (n_acc 0.941, e_acc 0.961) | Val 0.1366 (n_acc 0.960, e_acc 0.981) | LR 0.00134
[Train] Epoch 26:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2062, n_acc=0.948, e_acc=0.957]Epoch 25 | Train 0.2212 (n_acc 0.941, e_acc 0.961) | Val 0.1362 (n_acc 0.959, e_acc 0.980) | LR 0.00130
[Train] Epoch 27:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2646, n_acc=0.922, e_acc=0.951]Epoch 26 | Train 0.2190 (n_acc 0.941, e_acc 0.961) | Val 0.1312 (n_acc 0.961, e_acc 0.981) | LR 0.00125
[Train] Epoch 28:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.1981, n_acc=0.952, e_acc=0.966]Epoch 27 | Train 0.2169 (n_acc 0.942, e_acc 0.962) | Val 0.1344 (n_acc 0.959, e_acc 0.982) | LR 0.00120
[Train] Epoch 29:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2354, n_acc=0.927, e_acc=0.959]Epoch 28 | Train 0.2155 (n_acc 0.942, e_acc 0.962) | Val 0.1293 (n_acc 0.961, e_acc 0.982) | LR 0.00116
[Train] Epoch 30:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.1639, n_acc=0.959, e_acc=0.974]Epoch 29 | Train 0.2139 (n_acc 0.943, e_acc 0.962) | Val 0.1298 (n_acc 0.962, e_acc 0.981) | LR 0.00111
[Train] Epoch 31:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.2020, n_acc=0.943, e_acc=0.960]Epoch 30 | Train 0.2123 (n_acc 0.943, e_acc 0.963) | Val 0.1326 (n_acc 0.961, e_acc 0.981) | LR 0.00106
[Train] Epoch 32:   0%|          | 0/1738 [00:00<?, ?it/s, loss=0.1649, n_acc=0.961, e_acc=0.972]Epoch 31 | Train 0.2109 (n_acc 0.943, e_acc 0.963) | Val 0.1262 (n_acc 0.964, e_acc 0.981) | LR 0.00102
